Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
REGN,"Regeneron Pharmaceuticals",948.05,-6.68,-0.70%,956.52,944.12,367431,2024-02-16
ROP,"Roper Industries",545.57,-2.41,-0.44%,550.43,543.99,552654,2024-02-16
ROST,"Ross Stores Inc",144.08,-0.31,-0.21%,145.45,142.81,1876353,2024-02-16
SBUX,"Starbucks Corp",93.22,0,0.00%,94.18,92.75,5733612,2024-02-16
SIRI,"Sirius XM Holdings",4.8,0,0.00%,4.87,4.72,14430042,2024-02-16
SNPS,"Synopsys Inc",552.91,-4.92,-0.88%,563.87,550.98,896020,2024-02-16
SPLK,"Splunk Inc",155.37,-0.04,-0.03%,155.46,155.25,2567130,2024-02-16
TEAM,"Atlassian Corp",207.84,-5.28,-2.48%,214,207.19,1327559,2024-02-16
TMUS,"T-Mobile US",160.41,-1.16,-0.72%,161.36,159.62,4584303,2024-02-16
TSLA,"Tesla Inc",199.95,-0.5,-0.25%,203.17,197.4,111092242,2024-02-16
TTD,"Trade Desk Inc",88.93,13.22,+17.46%,94,85.68,29543268,2024-02-16
TTWO,"Take-Two Interactive",153.38,-3.58,-2.28%,157.24,153.29,1499062,2024-02-16
TXN,"Texas Instruments",160.38,-0.33,-0.21%,162.15,159.43,3167567,2024-02-16
VRSK,"Verisk Analytics Inc",244.7,-1.95,-0.79%,247.38,244.16,1399206,2024-02-16
VRTX,"Vertex Pharmaceutic",422.2,-4.09,-0.96%,427.04,420.97,1189482,2024-02-16
WBA,"Walgreens Boots Alliance",21.98,-0.31,-1.39%,22.11,21.78,10213022,2024-02-16
WBD,"Discovery Inc Series A",9.83,-0.31,-3.06%,10.11,9.81,19857814,2024-02-16
WDAY,"Workday Inc",302.67,-2.42,-0.79%,306.57,302.14,1385935,2024-02-16
XEL,"XCEL Energy Inc",59.07,0.06,+0.10%,59.27,58.56,2476066,2024-02-16
ZS,"Zscaler Inc",252.75,-0.41,-0.16%,254.68,248.61,1257338,2024-02-16
